============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
('ne', 'nisi')                 |     6
('consultum', 'fero')          |     6
('quam', 'relinquo')           |     6
('nunc', 'tamen')              |     6
('consilium', 'repr(eh)endo')  |     6
('quaero', 'video')            |     6
('nolo', 'res')                |     6
('defero', 'res')              |     6
('et', 'scribo')               |     6
('do', 'iam')                  |     6
('bonus', 'res')               |     6
('bonus', 'etiam')             |     6
('nunc', 'quaero')             |     6
('non', 'spero')               |     6
('ita', 'puto')                |     6
('ceterus', 'nam')             |     6
('ceterus', 'non')             |     6
('senatus', 'sententia')       |     6
('dico', 'homo')               |     6
('credo', 'inquam')            |     6
('non', 'vero')                |     6
('non', 'valeo')               |     6
('etiam', 'magis')             |     6
('dico', 'habeo')              |     6
('do', 'enim')                 |     6
('non', 'soleo')               |     6
('greek.expression', 're')     |     6
('greek.expression', 'opinor') |     6
('parum', 'res')               |     6
('ago', 'do')                  |     6
('magis', 'nunc')              |     6
('desum', 'non')               |     6
('littera', 'multus')          |     6
('etiam', 'littera')           |     6
('frater', 'littera')          |     6
('mitto', 'res')               |     6
('ubi', 'video')               |     6
('enim', 'vereor')             |     6
('facio', 'quidem')            |     6
('certe', 'possum')            |     6
('domesticus', 'non')          |     6
('iudico', 'res')              |     6
('frequens', 'senatus')        |     6
('non', 'parvus')              |     6
('multus', 'publicus')         |     6
('iam', 'magis')               |     6
('homo', 'tam')                |     6
('animus', 'consilium')        |     6
('magnus', 'possum')           |     6
('etiam', 'iam')               |     6
('enim', 'etiam')              |     6
('epistula', 'ne')             |     6
('ago', 'iam')                 |     6
('lex', 'perfero')             |     6
('fero', 'ut')                 |     6
('soleo', 'ut')                |     6
('causa', 'habeo')             |     6
('enim', 'scio')               |     6
('pompeius', 'volo')           |     6
('consilium', 'video')         |     6
('epistula', 'quam')           |     6
('nunc', 'quidem')             |     6
('agrarius', 'lex')            |     6
('lex', 'plebs')               |     6
('publicus', 'puto')           |     6
('ne', 'tam')                  |     6
('enim', 'tam')                |     6
('autem', 'causa')             |     6
('certus', 'volo')             |     6
