============================================================
CICERO ANALYSIS (Treebank Filtered)
Source: Perseus (phi0474) + PROIEL (Atticum, Officiis, etc.)
============================================================

Total Lemmas: 28377

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 3)
------------------------------------------------------------
Collocation                    | PMI        | Count
('do', 'thessalonica')         |       3.57 |     6
('do', 'posthac')              |       3.57 |     3
('posthac', 'do')              |       3.57 |     3
('vix', 'fero')                |       3.57 |     4
('proficiscor', 'epirus')      |       3.56 |     3
('lego', 'spes')               |       3.56 |     3
('lex', 'plebs')               |       3.56 |     5
('superus', 'littera')         |       3.55 |     6
('fero', 'consultum')          |       3.54 |     5
('addo', 'etiam')              |       3.54 |     5
('diligenter', 'certus')       |       3.54 |     3
('consilium', 'fides')         |       3.53 |     3
('quare', 'exspecto')          |       3.51 |     4
('re', 'exspecto')             |       3.51 |     4
('quidem', 'fere')             |       3.51 |     3
('sumptus', 'ne')              |       3.50 |     6
('greek.expression', 'optimas') |       3.50 |     3
('assentio', 'greek.expression') |       3.50 |     3
('ambitus', 'greek.expression') |       3.50 |     3
('greek.expression', 'faenus') |       3.50 |     3
('magis', 'caveo')             |       3.50 |     3
('marcus', 'consul')           |       3.50 |     4
('nunc', 'exspectatio')        |       3.50 |     3
('non', 'sanguis')             |       3.49 |     3
('non', 'inutilis')            |       3.49 |     4
('non', 'impudens')            |       3.49 |     4
('non', 'invidus')             |       3.49 |     3
('hercule', 'amo')             |       3.49 |     3
('lex', 'tribunus')            |       3.49 |     4
('numquam', 'tam')             |       3.47 |     4
('iam', 'diu')                 |       3.47 |     6
('dico', 'vinco')              |       3.47 |     3
('offero', 'video')            |       3.47 |     3
('cito', 'quam')               |       3.46 |     4
('nego', 'fero')               |       3.46 |     4
('nam', 'cato')                |       3.45 |     5
('oro', 'venio')               |       3.45 |     3
('kal', 'venio')               |       3.45 |     3
('pompeius', 'defero')         |       3.44 |     3
('consul', 'oportet')          |       3.44 |     3
('impedio', 'consul')          |       3.44 |     3
('mehercule', 'amo')           |       3.44 |     3
('eo', 'magis')                |       3.43 |    11
('saluto', 'greek.expression') |       3.43 |     4
('greek.expression', 'par')    |       3.43 |     4
('dies', 'forum')              |       3.42 |     3
('enim', 'despero')            |       3.42 |     3
('spes', 'salus')              |       3.41 |     3
('discedo', 'mitto')           |       3.41 |     3
('quam', 'sollicitus')         |       3.41 |     3
('satis', 'relinquo')          |       3.41 |     3
('accipio', 'parvus')          |       3.41 |     3
('senatus', 'auctoritas')      |       3.40 |     6
