================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('caes', 'incendia')                     |       8.85 |    10
('atomus', 'democritus')                 |       8.85 |     7
('argumentatio', 'inductio')             |       8.84 |     6
('auspicor', 'romulus')                  |       8.82 |     5
('purus', 'toga')                        |       8.82 |     6
('adhibuo', 'morbus')                    |       8.82 |    10
('fanus', 'oppidus')                     |       8.81 |     5
('fortitudo', 'patientia')               |       8.80 |    11
('ser', 'sulpicius')                     |       8.79 |     9
('terentia', 'tullius')                  |       8.78 |    24
('c.us', 'scribonius')                   |       8.77 |     6
('decuma', 'vendio')                     |       8.77 |    16
('privatim', 'publice')                  |       8.76 |    16
('aristoteles', 'theophrastus')          |       8.76 |    23
('perfectus', 'principalis')             |       8.75 |     5
('iunia', 'u.s')                         |       8.75 |    13
('u.s', 'xivus')                         |       8.74 |     5
('hirtius', 'pansa')                     |       8.74 |    17
('"si', 'pario')                         |       8.74 |     5
('convivium', 'salto')                   |       8.73 |     5
('alfenus', 'procurator')                |       8.73 |     6
('"cro', 'catulus')                      |       8.73 |     5
('decinus', 'kanticus')                  |       8.73 |    10
('oblivio', 'obruo')                     |       8.73 |     5
('senex', 'senis')                       |       8.73 |     5
('raeda', 'uxor')                        |       8.72 |     5
('ideestio', 'novanus')                  |       8.72 |     6
('astura', 'k.us')                       |       8.71 |    15
('heor', 'vesper')                       |       8.71 |     5
('equetus', 'romanum')                   |       8.70 |    10
('gubernator', 'medicus')                |       8.69 |     8
('mensis', 'quinctilus')                 |       8.68 |     8
('adtribuo', 'negotia')                  |       8.68 |    11
('adsensio', 'fatum')                    |       8.68 |     9
('iaha', 'sanctus')                      |       8.68 |    23
('anulus', 'dono')                       |       8.68 |     6
('gracchum', 'tes')                      |       8.67 |     5
('claris', 'gemma')                      |       8.67 |     5
('maius', 'mensis')                      |       8.67 |    23
('aegrotatio', 'morbus')                 |       8.67 |     9
('modestia', 'temperantia')              |       8.66 |    12
('phaedrum', 'socrates')                 |       8.66 |     6
('tribulus', 'vicinus')                  |       8.66 |     6
('aestimatio', 'annona')                 |       8.66 |     5
('denego', 'supplicatio')                |       8.66 |     5
('procurator', 'quinco')                 |       8.66 |     5
('luctus', 'magrus')                     |       8.65 |     7
('brundis', 'tullius')                   |       8.65 |     8
('decuma', 'hieronicus')                 |       8.65 |     9
('huo', 'illuc')                         |       8.65 |    12
('obruo', 'obscuro')                     |       8.65 |     5
('sanctus', 'tris')                      |       8.64 |     7
('ear', 'sanctus')                       |       8.64 |     7
('ample', 'exsspicto')                   |       8.63 |     5
('creticus', 'longus')                   |       8.63 |     5
('***o', 'scipium')                      |       8.63 |    25
('coniector', 'somnium')                 |       8.63 |     5
('iucuns', 'vivus')                      |       8.62 |     5
('consto', 'mutabilis')                  |       8.61 |     9
('marcus', 'tio')                        |       8.61 |     6
('epicro', 'hereditas')                  |       8.61 |     5
('aer', 'vicissim')                      |       8.61 |     6
('luna', 'sol')                          |       8.61 |    34
('frons', 'vultus')                      |       8.60 |     9
('nav', 'onerarius')                     |       8.59 |     8
('februarius', 'u.s')                    |       8.59 |     6
('foeder', 'gaditanus')                  |       8.58 |     8
('aram', 'confugio')                     |       8.58 |     6
('aprus', 'k.us')                        |       8.58 |    12
('cous', 'ut')                           |       8.57 |     5
